"Tabela 3553 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência com rendimento de trabalho e Valor do rendimento nominal médio mensal e mediano mensal de todos os trabalhos, das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho, segundo a situação do domicílio, o sexo, a cor ou raça, o nível de instrução, a condição de contribuição para instituto de previdência oficial em qualquer trabalho e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência e com rendimento de trabalho (Pessoas)"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Ano x Situação do domicílio x Sexo x Cor ou raça"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"Cód.";"Brasil e Município";"Nível de instrução";"Condição de contribuição para instituto de previdência oficial em qualquer trabalho";"Grupo de idade";"Total"
"3549805";"São José do Rio Preto (SP)";"Total";"Não contribuintes";"Total";"59545"
"3549904";"São José dos Campos (SP)";"Total";"Total";"Total";"304791"
"3549904";"São José dos Campos (SP)";"Total";"Contribuintes";"Total";"232482"
"3549904";"São José dos Campos (SP)";"Total";"Não contribuintes";"Total";"72309"
"3549953";"São Lourenço da Serra (SP)";"Total";"Total";"Total";"6066"
"3549953";"São Lourenço da Serra (SP)";"Total";"Contribuintes";"Total";"3686"
"3549953";"São Lourenço da Serra (SP)";"Total";"Não contribuintes";"Total";"2380"
"3550001";"São Luiz do Paraitinga (SP)";"Total";"Total";"Total";"4498"
"3550001";"São Luiz do Paraitinga (SP)";"Total";"Contribuintes";"Total";"2507"
"3550001";"São Luiz do Paraitinga (SP)";"Total";"Não contribuintes";"Total";"1991"
"3550100";"São Manuel (SP)";"Total";"Total";"Total";"17941"
"3550100";"São Manuel (SP)";"Total";"Contribuintes";"Total";"14702"
"3550100";"São Manuel (SP)";"Total";"Não contribuintes";"Total";"3239"
"3550209";"São Miguel Arcanjo (SP)";"Total";"Total";"Total";"13151"
"3550209";"São Miguel Arcanjo (SP)";"Total";"Contribuintes";"Total";"7402"
"3550209";"São Miguel Arcanjo (SP)";"Total";"Não contribuintes";"Total";"5749"
"3550308";"São Paulo (SP)";"Total";"Total";"Total";"5458587"
"3550308";"São Paulo (SP)";"Total";"Contribuintes";"Total";"4090960"
"3550308";"São Paulo (SP)";"Total";"Não contribuintes";"Total";"1367627"
"3550407";"São Pedro (SP)";"Total";"Total";"Total";"15113"
"3550407";"São Pedro (SP)";"Total";"Contribuintes";"Total";"9363"
"3550407";"São Pedro (SP)";"Total";"Não contribuintes";"Total";"5750"
"3550506";"São Pedro do Turvo (SP)";"Total";"Total";"Total";"3190"
"3550506";"São Pedro do Turvo (SP)";"Total";"Contribuintes";"Total";"2081"
"3550506";"São Pedro do Turvo (SP)";"Total";"Não contribuintes";"Total";"1109"
"3550605";"São Roque (SP)";"Total";"Total";"Total";"37609"
"3550605";"São Roque (SP)";"Total";"Contribuintes";"Total";"28097"
"3550605";"São Roque (SP)";"Total";"Não contribuintes";"Total";"9512"
"3550704";"São Sebastião (SP)";"Total";"Total";"Total";"38257"
"3550704";"São Sebastião (SP)";"Total";"Contribuintes";"Total";"25503"
"3550704";"São Sebastião (SP)";"Total";"Não contribuintes";"Total";"12754"
"3550803";"São Sebastião da Grama (SP)";"Total";"Total";"Total";"5874"
"3550803";"São Sebastião da Grama (SP)";"Total";"Contribuintes";"Total";"4118"
"3550803";"São Sebastião da Grama (SP)";"Total";"Não contribuintes";"Total";"1756"
"3550902";"São Simão (SP)";"Total";"Total";"Total";"6702"
"3550902";"São Simão (SP)";"Total";"Contribuintes";"Total";"5147"
"3550902";"São Simão (SP)";"Total";"Não contribuintes";"Total";"1555"
"3551009";"São Vicente (SP)";"Total";"Total";"Total";"145416"
"3551009";"São Vicente (SP)";"Total";"Contribuintes";"Total";"109818"
"3551009";"São Vicente (SP)";"Total";"Não contribuintes";"Total";"35597"
"3551108";"Sarapuí (SP)";"Total";"Total";"Total";"3671"
"3551108";"Sarapuí (SP)";"Total";"Contribuintes";"Total";"2259"
"3551108";"Sarapuí (SP)";"Total";"Não contribuintes";"Total";"1413"
"3551207";"Sarutaiá (SP)";"Total";"Total";"Total";"1656"
"3551207";"Sarutaiá (SP)";"Total";"Contribuintes";"Total";"791"
"3551207";"Sarutaiá (SP)";"Total";"Não contribuintes";"Total";"865"
"3551306";"Sebastianópolis do Sul (SP)";"Total";"Total";"Total";"1615"
"3551306";"Sebastianópolis do Sul (SP)";"Total";"Contribuintes";"Total";"1131"
"3551306";"Sebastianópolis do Sul (SP)";"Total";"Não contribuintes";"Total";"484"
"3551405";"Serra Azul (SP)";"Total";"Total";"Total";"4687"
"3551405";"Serra Azul (SP)";"Total";"Contribuintes";"Total";"2871"
"3551405";"Serra Azul (SP)";"Total";"Não contribuintes";"Total";"1816"
"3551504";"Serrana (SP)";"Total";"Total";"Total";"19477"
"3551504";"Serrana (SP)";"Total";"Contribuintes";"Total";"15057"
"3551504";"Serrana (SP)";"Total";"Não contribuintes";"Total";"4420"
"3551603";"Serra Negra (SP)";"Total";"Total";"Total";"14654"
"3551603";"Serra Negra (SP)";"Total";"Contribuintes";"Total";"10085"
"3551603";"Serra Negra (SP)";"Total";"Não contribuintes";"Total";"4569"
"3551702";"Sertãozinho (SP)";"Total";"Total";"Total";"54783"
"3551702";"Sertãozinho (SP)";"Total";"Contribuintes";"Total";"42155"
"3551702";"Sertãozinho (SP)";"Total";"Não contribuintes";"Total";"12629"
"3551801";"Sete Barras (SP)";"Total";"Total";"Total";"4879"
"3551801";"Sete Barras (SP)";"Total";"Contribuintes";"Total";"2331"
"3551801";"Sete Barras (SP)";"Total";"Não contribuintes";"Total";"2547"
"3551900";"Severínia (SP)";"Total";"Total";"Total";"7499"
"3551900";"Severínia (SP)";"Total";"Contribuintes";"Total";"5660"
"3551900";"Severínia (SP)";"Total";"Não contribuintes";"Total";"1838"
"3552007";"Silveiras (SP)";"Total";"Total";"Total";"2478"
"3552007";"Silveiras (SP)";"Total";"Contribuintes";"Total";"1300"
"3552007";"Silveiras (SP)";"Total";"Não contribuintes";"Total";"1178"
"3552106";"Socorro (SP)";"Total";"Total";"Total";"19751"
"3552106";"Socorro (SP)";"Total";"Contribuintes";"Total";"11462"
"3552106";"Socorro (SP)";"Total";"Não contribuintes";"Total";"8289"
"3552205";"Sorocaba (SP)";"Total";"Total";"Total";"274309"
"3552205";"Sorocaba (SP)";"Total";"Contribuintes";"Total";"208033"
"3552205";"Sorocaba (SP)";"Total";"Não contribuintes";"Total";"66275"
"3552304";"Sud Mennucci (SP)";"Total";"Total";"Total";"3455"
"3552304";"Sud Mennucci (SP)";"Total";"Contribuintes";"Total";"2580"
"3552304";"Sud Mennucci (SP)";"Total";"Não contribuintes";"Total";"875"
"3552403";"Sumaré (SP)";"Total";"Total";"Total";"115519"
"3552403";"Sumaré (SP)";"Total";"Contribuintes";"Total";"88821"
"3552403";"Sumaré (SP)";"Total";"Não contribuintes";"Total";"26698"
"3552502";"Suzano (SP)";"Total";"Total";"Total";"111428"
"3552502";"Suzano (SP)";"Total";"Contribuintes";"Total";"77791"
"3552502";"Suzano (SP)";"Total";"Não contribuintes";"Total";"33637"
"3552551";"Suzanápolis (SP)";"Total";"Total";"Total";"1385"
"3552551";"Suzanápolis (SP)";"Total";"Contribuintes";"Total";"830"
"3552551";"Suzanápolis (SP)";"Total";"Não contribuintes";"Total";"555"
"3552601";"Tabapuã (SP)";"Total";"Total";"Total";"5769"
"3552601";"Tabapuã (SP)";"Total";"Contribuintes";"Total";"4550"
"3552601";"Tabapuã (SP)";"Total";"Não contribuintes";"Total";"1219"
"3552700";"Tabatinga (SP)";"Total";"Total";"Total";"7841"
"3552700";"Tabatinga (SP)";"Total";"Contribuintes";"Total";"5898"
"3552700";"Tabatinga (SP)";"Total";"Não contribuintes";"Total";"1943"
"3552809";"Taboão da Serra (SP)";"Total";"Total";"Total";"118911"
"3552809";"Taboão da Serra (SP)";"Total";"Contribuintes";"Total";"87743"
"3552809";"Taboão da Serra (SP)";"Total";"Não contribuintes";"Total";"31168"
"3552908";"Taciba (SP)";"Total";"Total";"Total";"2456"
"3552908";"Taciba (SP)";"Total";"Contribuintes";"Total";"1845"
"3552908";"Taciba (SP)";"Total";"Não contribuintes";"Total";"611"
"3553005";"Taguaí (SP)";"Total";"Total";"Total";"6053"
"3553005";"Taguaí (SP)";"Total";"Contribuintes";"Total";"4161"
"3553005";"Taguaí (SP)";"Total";"Não contribuintes";"Total";"1892"
"3553104";"Taiaçu (SP)";"Total";"Total";"Total";"2752"
"3553104";"Taiaçu (SP)";"Total";"Contribuintes";"Total";"1633"
"3553104";"Taiaçu (SP)";"Total";"Não contribuintes";"Total";"1119"
"3553203";"Taiúva (SP)";"Total";"Total";"Total";"2683"
"3553203";"Taiúva (SP)";"Total";"Contribuintes";"Total";"1943"
"3553203";"Taiúva (SP)";"Total";"Não contribuintes";"Total";"741"
"3553302";"Tambaú (SP)";"Total";"Total";"Total";"10679"
"3553302";"Tambaú (SP)";"Total";"Contribuintes";"Total";"7890"
"3553302";"Tambaú (SP)";"Total";"Não contribuintes";"Total";"2789"
"3553401";"Tanabi (SP)";"Total";"Total";"Total";"12275"
"3553401";"Tanabi (SP)";"Total";"Contribuintes";"Total";"8070"
"3553401";"Tanabi (SP)";"Total";"Não contribuintes";"Total";"4205"
"3553500";"Tapiraí (SP)";"Total";"Total";"Total";"3191"
"3553500";"Tapiraí (SP)";"Total";"Contribuintes";"Total";"1578"
"3553500";"Tapiraí (SP)";"Total";"Não contribuintes";"Total";"1613"
"3553609";"Tapiratiba (SP)";"Total";"Total";"Total";"5523"
"3553609";"Tapiratiba (SP)";"Total";"Contribuintes";"Total";"4395"
"3553609";"Tapiratiba (SP)";"Total";"Não contribuintes";"Total";"1128"
"3553658";"Taquaral (SP)";"Total";"Total";"Total";"1272"
"3553658";"Taquaral (SP)";"Total";"Contribuintes";"Total";"972"
"3553658";"Taquaral (SP)";"Total";"Não contribuintes";"Total";"301"
"3553708";"Taquaritinga (SP)";"Total";"Total";"Total";"26224"
"3553708";"Taquaritinga (SP)";"Total";"Contribuintes";"Total";"19288"
"3553708";"Taquaritinga (SP)";"Total";"Não contribuintes";"Total";"6935"
"3553807";"Taquarituba (SP)";"Total";"Total";"Total";"10101"
"3553807";"Taquarituba (SP)";"Total";"Contribuintes";"Total";"5710"
"3553807";"Taquarituba (SP)";"Total";"Não contribuintes";"Total";"4391"
"3553856";"Taquarivaí (SP)";"Total";"Total";"Total";"1946"
"3553856";"Taquarivaí (SP)";"Total";"Contribuintes";"Total";"1390"
"3553856";"Taquarivaí (SP)";"Total";"Não contribuintes";"Total";"557"
"3553906";"Tarabai (SP)";"Total";"Total";"Total";"2777"
"3553906";"Tarabai (SP)";"Total";"Contribuintes";"Total";"2023"
"3553906";"Tarabai (SP)";"Total";"Não contribuintes";"Total";"754"
"3553955";"Tarumã (SP)";"Total";"Total";"Total";"5379"
"3553955";"Tarumã (SP)";"Total";"Contribuintes";"Total";"4166"
"3553955";"Tarumã (SP)";"Total";"Não contribuintes";"Total";"1213"
"3554003";"Tatuí (SP)";"Total";"Total";"Total";"48083"
"3554003";"Tatuí (SP)";"Total";"Contribuintes";"Total";"36954"
"3554003";"Tatuí (SP)";"Total";"Não contribuintes";"Total";"11128"
"3554102";"Taubaté (SP)";"Total";"Total";"Total";"128815"
"3554102";"Taubaté (SP)";"Total";"Contribuintes";"Total";"96528"
"3554102";"Taubaté (SP)";"Total";"Não contribuintes";"Total";"32287"
"3554201";"Tejupá (SP)";"Total";"Total";"Total";"2282"
"3554201";"Tejupá (SP)";"Total";"Contribuintes";"Total";"1143"
"3554201";"Tejupá (SP)";"Total";"Não contribuintes";"Total";"1139"
"3554300";"Teodoro Sampaio (SP)";"Total";"Total";"Total";"9320"
"3554300";"Teodoro Sampaio (SP)";"Total";"Contribuintes";"Total";"6762"
"3554300";"Teodoro Sampaio (SP)";"Total";"Não contribuintes";"Total";"2558"
"3554409";"Terra Roxa (SP)";"Total";"Total";"Total";"4174"
"3554409";"Terra Roxa (SP)";"Total";"Contribuintes";"Total";"3200"
"3554409";"Terra Roxa (SP)";"Total";"Não contribuintes";"Total";"974"
"3554508";"Tietê (SP)";"Total";"Total";"Total";"19066"
"3554508";"Tietê (SP)";"Total";"Contribuintes";"Total";"14898"
"3554508";"Tietê (SP)";"Total";"Não contribuintes";"Total";"4168"
"3554607";"Timburi (SP)";"Total";"Total";"Total";"1245"
"3554607";"Timburi (SP)";"Total";"Contribuintes";"Total";"516"
"3554607";"Timburi (SP)";"Total";"Não contribuintes";"Total";"730"
"3554656";"Torre de Pedra (SP)";"Total";"Total";"Total";"836"
"3554656";"Torre de Pedra (SP)";"Total";"Contribuintes";"Total";"523"
"3554656";"Torre de Pedra (SP)";"Total";"Não contribuintes";"Total";"314"
"3554706";"Torrinha (SP)";"Total";"Total";"Total";"4994"
"3554706";"Torrinha (SP)";"Total";"Contribuintes";"Total";"3023"
"3554706";"Torrinha (SP)";"Total";"Não contribuintes";"Total";"1970"
"3554755";"Trabiju (SP)";"Total";"Total";"Total";"669"
"3554755";"Trabiju (SP)";"Total";"Contribuintes";"Total";"554"
"3554755";"Trabiju (SP)";"Total";"Não contribuintes";"Total";"115"
"3554805";"Tremembé (SP)";"Total";"Total";"Total";"17233"
"3554805";"Tremembé (SP)";"Total";"Contribuintes";"Total";"11743"
"3554805";"Tremembé (SP)";"Total";"Não contribuintes";"Total";"5490"
"3554904";"Três Fronteiras (SP)";"Total";"Total";"Total";"2430"
"3554904";"Três Fronteiras (SP)";"Total";"Contribuintes";"Total";"1436"
"3554904";"Três Fronteiras (SP)";"Total";"Não contribuintes";"Total";"994"
"3554953";"Tuiuti (SP)";"Total";"Total";"Total";"2921"
"3554953";"Tuiuti (SP)";"Total";"Contribuintes";"Total";"1666"
"3554953";"Tuiuti (SP)";"Total";"Não contribuintes";"Total";"1255"
"3555000";"Tupã (SP)";"Total";"Total";"Total";"29639"
"3555000";"Tupã (SP)";"Total";"Contribuintes";"Total";"21560"
"3555000";"Tupã (SP)";"Total";"Não contribuintes";"Total";"8078"
"3555109";"Tupi Paulista (SP)";"Total";"Total";"Total";"6682"
"3555109";"Tupi Paulista (SP)";"Total";"Contribuintes";"Total";"4155"
"3555109";"Tupi Paulista (SP)";"Total";"Não contribuintes";"Total";"2527"
"3555208";"Turiúba (SP)";"Total";"Total";"Total";"938"
"3555208";"Turiúba (SP)";"Total";"Contribuintes";"Total";"628"
"3555208";"Turiúba (SP)";"Total";"Não contribuintes";"Total";"311"
"3555307";"Turmalina (SP)";"Total";"Total";"Total";"988"
"3555307";"Turmalina (SP)";"Total";"Contribuintes";"Total";"568"
"3555307";"Turmalina (SP)";"Total";"Não contribuintes";"Total";"420"
"3555356";"Ubarana (SP)";"Total";"Total";"Total";"2336"
"3555356";"Ubarana (SP)";"Total";"Contribuintes";"Total";"1767"
"3555356";"Ubarana (SP)";"Total";"Não contribuintes";"Total";"569"
"3555406";"Ubatuba (SP)";"Total";"Total";"Total";"37817"
"3555406";"Ubatuba (SP)";"Total";"Contribuintes";"Total";"20964"
"3555406";"Ubatuba (SP)";"Total";"Não contribuintes";"Total";"16853"
"3555505";"Ubirajara (SP)";"Total";"Total";"Total";"2131"
"3555505";"Ubirajara (SP)";"Total";"Contribuintes";"Total";"1333"
"3555505";"Ubirajara (SP)";"Total";"Não contribuintes";"Total";"798"
"3555604";"Uchoa (SP)";"Total";"Total";"Total";"4506"
"3555604";"Uchoa (SP)";"Total";"Contribuintes";"Total";"3239"
"3555604";"Uchoa (SP)";"Total";"Não contribuintes";"Total";"1267"
"3555703";"União Paulista (SP)";"Total";"Total";"Total";"737"
"3555703";"União Paulista (SP)";"Total";"Contribuintes";"Total";"491"
"3555703";"União Paulista (SP)";"Total";"Não contribuintes";"Total";"245"
"3555802";"Urânia (SP)";"Total";"Total";"Total";"4103"
"3555802";"Urânia (SP)";"Total";"Contribuintes";"Total";"2550"
"3555802";"Urânia (SP)";"Total";"Não contribuintes";"Total";"1553"
"3555901";"Uru (SP)";"Total";"Total";"Total";"522"
"3555901";"Uru (SP)";"Total";"Contribuintes";"Total";"405"
"3555901";"Uru (SP)";"Total";"Não contribuintes";"Total";"117"
"3556008";"Urupês (SP)";"Total";"Total";"Total";"6909"
"3556008";"Urupês (SP)";"Total";"Contribuintes";"Total";"4578"
"3556008";"Urupês (SP)";"Total";"Não contribuintes";"Total";"2331"
"3556107";"Valentim Gentil (SP)";"Total";"Total";"Total";"5833"
"3556107";"Valentim Gentil (SP)";"Total";"Contribuintes";"Total";"3917"
"3556107";"Valentim Gentil (SP)";"Total";"Não contribuintes";"Total";"1916"
"3556206";"Valinhos (SP)";"Total";"Total";"Total";"57144"
"3556206";"Valinhos (SP)";"Total";"Contribuintes";"Total";"46693"
"3556206";"Valinhos (SP)";"Total";"Não contribuintes";"Total";"10451"
"3556305";"Valparaíso (SP)";"Total";"Total";"Total";"8959"
"3556305";"Valparaíso (SP)";"Total";"Contribuintes";"Total";"7008"
"3556305";"Valparaíso (SP)";"Total";"Não contribuintes";"Total";"1951"
"3556354";"Vargem (SP)";"Total";"Total";"Total";"4255"
"3556354";"Vargem (SP)";"Total";"Contribuintes";"Total";"2720"
"3556354";"Vargem (SP)";"Total";"Não contribuintes";"Total";"1535"
"3556404";"Vargem Grande do Sul (SP)";"Total";"Total";"Total";"19356"
"3556404";"Vargem Grande do Sul (SP)";"Total";"Contribuintes";"Total";"14196"
"3556404";"Vargem Grande do Sul (SP)";"Total";"Não contribuintes";"Total";"5160"
"3556453";"Vargem Grande Paulista (SP)";"Total";"Total";"Total";"20266"
"3556453";"Vargem Grande Paulista (SP)";"Total";"Contribuintes";"Total";"13920"
"3556453";"Vargem Grande Paulista (SP)";"Total";"Não contribuintes";"Total";"6345"
"3556503";"Várzea Paulista (SP)";"Total";"Total";"Total";"49020"
"3556503";"Várzea Paulista (SP)";"Total";"Contribuintes";"Total";"39720"
"3556503";"Várzea Paulista (SP)";"Total";"Não contribuintes";"Total";"9300"
"3556602";"Vera Cruz (SP)";"Total";"Total";"Total";"5086"
"3556602";"Vera Cruz (SP)";"Total";"Contribuintes";"Total";"3433"
"3556602";"Vera Cruz (SP)";"Total";"Não contribuintes";"Total";"1653"
"3556701";"Vinhedo (SP)";"Total";"Total";"Total";"34219"
"3556701";"Vinhedo (SP)";"Total";"Contribuintes";"Total";"26602"
"3556701";"Vinhedo (SP)";"Total";"Não contribuintes";"Total";"7617"
"3556800";"Viradouro (SP)";"Total";"Total";"Total";"8326"
"3556800";"Viradouro (SP)";"Total";"Contribuintes";"Total";"6202"
"3556800";"Viradouro (SP)";"Total";"Não contribuintes";"Total";"2124"
"3556909";"Vista Alegre do Alto (SP)";"Total";"Total";"Total";"3861"
"3556909";"Vista Alegre do Alto (SP)";"Total";"Contribuintes";"Total";"2595"
"3556909";"Vista Alegre do Alto (SP)";"Total";"Não contribuintes";"Total";"1266"
"3556958";"Vitória Brasil (SP)";"Total";"Total";"Total";"895"
"3556958";"Vitória Brasil (SP)";"Total";"Contribuintes";"Total";"485"
"3556958";"Vitória Brasil (SP)";"Total";"Não contribuintes";"Total";"410"
"3557006";"Votorantim (SP)";"Total";"Total";"Total";"48624"
"3557006";"Votorantim (SP)";"Total";"Contribuintes";"Total";"37257"
"3557006";"Votorantim (SP)";"Total";"Não contribuintes";"Total";"11367"
"3557105";"Votuporanga (SP)";"Total";"Total";"Total";"43950"
"3557105";"Votuporanga (SP)";"Total";"Contribuintes";"Total";"33056"
"3557105";"Votuporanga (SP)";"Total";"Não contribuintes";"Total";"10894"
"3557154";"Zacarias (SP)";"Total";"Total";"Total";"1060"
"3557154";"Zacarias (SP)";"Total";"Contribuintes";"Total";"822"
"3557154";"Zacarias (SP)";"Total";"Não contribuintes";"Total";"238"
"3557204";"Chavantes (SP)";"Total";"Total";"Total";"5024"
"3557204";"Chavantes (SP)";"Total";"Contribuintes";"Total";"4024"
"3557204";"Chavantes (SP)";"Total";"Não contribuintes";"Total";"1000"
"3557303";"Estiva Gerbi (SP)";"Total";"Total";"Total";"4575"
"3557303";"Estiva Gerbi (SP)";"Total";"Contribuintes";"Total";"3428"
"3557303";"Estiva Gerbi (SP)";"Total";"Não contribuintes";"Total";"1147"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1 - Dados da Amostra."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
